period,window,path,cost_mult,entry_mode,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,no_confirmation,invalidated,entry_invalid,entry_cost,submitted,mean_net_r,pf,win_rate
extension,open_window,OHLC,1.5,midpoint,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,0,0,0,0,0,-0.4431402259679326,0.3851315339429399,0.29411764705882354
extension,open_window,OLHC,1.0,confirmation,30,30,6,0,0,0,0,5,-0.9721477740816624,1.0195925799177727,1.9917403539994352,3,19,5,0,0,0,-0.1620246290136104,0.5119103892585298,0.5
extension,open_window,OLHC,1.0,confirmed_retest,30,30,3,0,3,0,0,2,-0.26180706188475716,1.232799701572534,1.4946067634572913,1,19,5,0,0,6,-0.08726902062825238,0.8248321442898124,0.3333333333333333
extension,open_window,OLHC,1.0,midpoint,30,30,17,0,13,0,0,5,-7.241826074477672,4.769668297257141,12.01149437173481,5,0,0,0,0,0,-0.4259897690869219,0.3970919978517429,0.29411764705882354
extension,open_window,OLHC,1.5,confirmation,30,30,6,0,0,0,0,5,-1.033341152358243,0.9891857284665746,2.0225268808248176,3,19,5,0,0,0,-0.1722235253930405,0.48908409467624453,0.5
extension,open_window,OLHC,1.5,confirmed_retest,30,30,3,0,3,0,0,2,-0.29584576433396925,1.2276507768046296,1.523496541138599,1,19,5,0,0,6,-0.09861525477798976,0.8058113317980582,0.3333333333333333
extension,open_window,OLHC,1.5,midpoint,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,0,0,0,0,0,-0.4431402259679326,0.3851315339429399,0.29411764705882354
late,baseline,OHLC,1.0,confirmation,204,204,61,0,0,0,0,47,0.6949101684181443,18.656740389504606,17.961830221086462,32,131,12,0,0,0,0.011391969974067941,1.0386881603859248,0.5245901639344263
late,baseline,OHLC,1.0,confirmed_retest,204,204,28,0,33,0,0,17,0.9901467565133296,11.457144284012523,10.466997527499194,16,131,12,0,0,61,0.03536238416119034,1.094597018286475,0.5714285714285714
late,baseline,OHLC,1.0,midpoint,204,204,105,0,99,0,0,51,17.582002502001725,58.11861394164256,40.53661143964083,54,0,0,0,0,0,0.1674476428762069,1.4337314313551195,0.5142857142857142
